0	61903	54091	19926	30097	41999
1	40660	27529	50613	5549	64738
2	57945	5549	50613	27529	64738
3	51843	64828	12936	39049	25187
4	12405	2961	59054	37691	56007
5	20971	64738	62251	39049	53511
6	15361	44199	62495	61903	28286
7	27529	40660	50613	5549	64738
8	39049	12936	39848	51843	34438
9	5549	2961	40660	64738	54968
10	8602	3193	20009	5549	28286
11	57471	22822	14485	15549	43152
12	2961	37691	61903	65058	59054
13	44657	54091	3027	48706	50852
14	20971	5549	50613	40660	64738
15	12405	21538	61903	2961	59054
16	39049	14485	22822	64828	25187
17	10724	8602	20009	5549	33123
18	20009	2961	54968	5549	40660
19	15361	44199	28286	62495	61903
20	62495	54666	19926	44199	61903
21	39848	34438	12936	51843	39049
22	8602	20009	28286	3193	33836
23	59054	28670	54091	35258	50852
24	51843	64828	39049	25187	12936
25	28286	19926	44199	59054	61903
26	2961	40660	20009	5549	28286
27	56007	24502	2961	54968	40660
28	62251	40660	64738	20971	50613
29	50613	54968	64738	5549	40660
30	30707	44657	50852	48706	54091
31	33123	54968	5549	64738	40660
32	38066	20009	10724	3193	28286
33	57945	27529	5549	64738	50613
34	28145	14485	54091	3027	43152
35	2961	24502	39848	17544	34438
36	20009	2961	59054	61903	28286
37	44852	39049	25187	64828	53511
38	21538	61903	59054	2961	28286
39	22822	8603	39049	64828	25187
40	51843	22822	34438	14485	43152
41	22822	12936	39049	64828	25187
42	43152	16097	3027	54091	48706
43	15549	64828	25187	14485	22822
44	34438	2961	54968	24502	40660
45	44852	25187	39049	64828	53511
46	56007	37691	24502	34438	2961
47	8362	62495	44199	61903	28286
48	56007	54091	43152	59054	37691
49	35258	28670	44199	61903	19926
50	43152	22822	54091	14485	3027
51	27529	64738	33123	40660	5549
52	50613	20971	54968	40660	64738
53	19926	35258	28670	50852	54091
54	28670	44199	41999	19926	61903
55	51843	39848	17544	39049	34438
56	42900	48706	14485	54091	3027
57	56007	12405	59054	37691	2961
58	2961	17544	34438	24502	39848
59	12936	43152	22822	14485	25187
60	50852	30097	54091	19926	41999
61	62495	54666	19926	44199	61903
62	19926	28670	50852	35258	54091
63	8602	20009	5549	40660	33123
64	53983	15549	14485	43152	22822
65	2961	39848	24502	17544	34438
66	62495	19926	54666	44199	61903
67	11376	19926	44199	62495	61903
68	28145	63721	22822	14485	43152
69	63721	22822	54091	43152	14485
70	16097	54091	50852	48706	3027
71	8602	28286	5549	20009	40660
72	8603	64828	22822	14485	25187
73	33123	8602	5549	28286	20009
74	14143	34438	63721	14485	43152
75	17544	54968	2961	64738	40660
76	28145	54091	63721	14485	43152
77	2961	24502	39848	17544	34438
78	15361	44199	62495	28286	61903
79	28145	63721	14485	43152	54091
80	8602	20009	40660	33123	5549
81	53511	20971	50613	64738	62251
82	36938	57945	27529	50613	64738
83	22668	20971	17544	64738	39049
84	22822	8603	39049	64828	25187
85	32657	33836	20009	28286	3193
86	50852	16097	3027	54091	48706
87	62251	25187	64828	39049	53511
88	43894	34438	17544	22668	39049
89	56007	24502	2961	37691	34438
90	61903	28670	54091	35258	50852
91	40660	62251	20971	64738	50613
92	14485	34438	39049	51843	12936
93	21538	19926	65058	59054	61903
94	54666	62495	19926	44199	61903
95	3193	10724	20009	5549	28286
96	59054	28670	50852	35258	54091
97	12936	17544	51843	34438	39848
98	28286	20009	54968	40660	2961
99	50852	44657	3027	54091	48706
100	12936	43152	51843	22822	14485
101	50852	63721	54091	43152	16097
102	61903	28670	35258	50852	54091
103	28286	15361	44199	61903	62495
104	12936	64828	25187	39049	22668
105	57945	5549	64738	50613	27529
106	24502	39049	34438	17544	64738
107	57945	50613	27529	5549	64738
108	44657	48706	3027	50852	54091
109	44657	3027	54091	48706	50852
110	51843	34438	14485	43152	39848
111	12936	39049	64828	22668	25187
112	3193	8602	20009	28286	5549
113	40660	33123	5549	27529	64738
114	37691	24502	43152	39848	34438
115	28286	5549	40660	20009	54968
116	51843	43152	12936	22822	14485
117	50852	65058	54091	61903	59054
118	62251	50613	20971	64738	40660
119	2961	5549	54968	64738	40660
120	63721	37691	59054	43152	54091
121	22668	25187	53511	39049	64828
122	41999	35258	50852	28670	54091
123	20009	39911	44199	61903	28286
124	44657	50852	3027	48706	54091
125	40660	8602	5549	20009	33123
126	22668	17544	34438	39848	39049
127	64738	62251	53511	39049	36938
128	44004	8603	39049	64828	25187
129	10724	33836	3193	20009	28286
130	54666	19926	44199	61903	28286
131	39848	63721	14485	34438	43152
132	57945	27529	5549	50613	64738
133	53511	20971	62251	50613	64738
134	43152	12936	14485	51843	22822
135	15549	64828	22822	25187	14485
136	17544	12936	51843	39848	34438
137	39911	44199	61903	19926	59054
138	62251	50613	53511	36938	64738
139	2961	17544	39848	34438	24502
140	64828	15549	25187	22822	14485
141	20009	5549	54968	40660	2961
142	64828	53511	22668	62251	39049
143	15549	57471	3027	22822	14485
144	63721	50852	54091	16097	43152
145	16097	63721	14485	43152	54091
146	39848	2961	24502	17544	34438
147	22822	43152	14485	54091	3027
148	28670	16097	50852	54091	35258
149	40660	27529	5549	50613	64738
150	36938	57945	64738	50613	27529
151	54666	28286	44199	62495	61903
152	21538	59054	2961	28286	61903
153	63721	37691	54091	43152	59054
154	8362	33836	20009	61903	28286
155	17544	62251	39049	20971	64738
156	55581	57471	22822	3027	14485
157	14143	39848	63721	34438	43152
158	12936	64828	25187	14485	22822
159	8362	54666	61903	44199	28286
160	12405	21538	2961	40660	59054
161	12405	56007	37691	2961	59054
162	57471	43152	14485	54091	3027
163	35258	50852	19926	54091	61903
164	8602	3193	20009	28286	5549
165	8362	28286	20009	61903	44199
166	24502	56007	37691	34438	2961
167	44852	39049	25187	53511	64828
168	22822	63721	54091	14485	43152
169	28145	43152	54091	3027	14485
170	53511	22668	25187	64828	39049
171	64738	36938	62251	39049	53511
172	28286	19926	44199	59054	61903
173	27529	40660	50613	5549	64738
174	54968	40660	28286	20009	5549
175	27529	53511	36938	50613	64738
176	5549	20009	2961	28286	40660
177	2961	24502	39848	17544	34438
178	24502	2961	17544	40660	34438
179	40660	8602	20009	5549	33123
180	51843	12936	39049	25187	64828
181	2961	17544	34438	24502	40660
182	57945	27529	50613	5549	64738
183	8602	28286	40660	20009	5549
184	12936	22822	39049	64828	25187
185	36938	62251	50613	53511	64738
186	54666	62495	19926	44199	61903
187	40660	3193	5549	20009	28286
188	64828	25187	22822	15549	14485
189	64738	5549	54968	40660	2961
190	32657	62495	28286	3193	38066
191	50613	33123	20433	27529	5549
192	3193	33836	20009	61903	28286
193	24502	64738	54968	40660	2961
194	44199	59054	19926	65058	61903
195	33836	3193	20009	28286	61903
196	28145	43152	54091	3027	14485
197	55033	5549	38066	10724	33123
198	65058	50852	61903	54091	59054
199	15361	44199	62495	28286	61903
200	28670	44657	48706	54091	50852
201	17544	54968	20971	64738	40660
202	28670	41999	44199	61903	19926
203	35258	19926	61903	59054	65058
204	2961	40660	20009	5549	54968
205	28145	43152	3027	54091	14485
206	50852	28670	44199	19926	61903
207	12405	59054	54968	40660	2961
208	30707	44657	54091	50852	48706
209	12405	56007	59054	37691	2961
210	54666	59054	44199	19926	61903
211	33123	50613	64738	27529	5549
212	20971	2961	54968	40660	64738
213	22822	39049	12936	64828	25187
214	12936	64828	14485	25187	22822
215	24502	40660	17544	2961	34438
216	22668	53511	64828	25187	39049
217	20971	62251	22668	64738	39049
218	39911	2961	21538	59054	61903
219	28145	3027	54091	43152	14485
220	44657	50365	3027	48706	54091
221	12936	22822	25187	14485	64828
222	51843	12936	39049	25187	64828
223	54968	20971	17544	64738	40660
224	64828	12936	34438	39049	51843
225	57471	22822	3027	14485	15549
226	28286	40660	20009	54968	5549
227	16097	54091	14485	63721	43152
228	20971	39049	62251	53511	64738
229	28670	41999	19926	44199	61903
230	53511	39049	22668	25187	64828
231	41999	28670	44199	19926	61903
232	50613	54968	5549	40660	64738
233	64738	2961	5549	54968	40660
234	50852	59054	54091	61903	19926
235	57945	5549	50613	64738	27529
236	27529	40660	50613	64738	5549
237	34438	37691	63721	54091	43152
238	34438	37691	56007	2961	40660
239	65058	54091	43152	59054	37691
240	28145	63721	14485	54091	43152
241	50852	16097	48706	54091	3027
242	2961	40660	5549	20009	28286
243	48706	44657	16097	50852	54091
244	28286	54666	44199	61903	19926
245	64828	34438	12936	51843	39049
246	57945	50613	27529	64738	5549
247	41999	54666	19926	61903	44199
248	17544	62251	64738	22668	39049
249	30133	27529	5549	20433	33123
250	27529	62251	20971	64738	50613
251	19926	28670	50852	54091	41999
252	39848	34438	22668	17544	39049
253	36938	20971	64738	50613	62251
254	16097	14485	54091	43152	3027
255	39848	22668	34438	39049	17544
256	39049	50613	62251	64738	20971
257	57945	5549	64738	50613	27529
258	28670	41999	61903	44199	19926
259	11376	62495	19926	61903	44199
260	20971	64738	62251	53511	39049
261	55033	10724	5549	38066	33123
262	56007	2961	37691	40660	54968
263	14485	42900	48706	3027	54091
264	50613	20971	53511	64738	62251
265	54666	19926	59054	61903	44199
266	28670	50852	19926	54091	41999
267	19926	44199	61903	11376	62495
268	11376	62495	19926	61903	44199
269	22668	25187	53511	64828	39049
270	35258	19926	65058	61903	59054
271	5549	2961	40660	20009	28286
272	64828	8603	14485	25187	22822
273	12936	64828	39049	25187	22668
274	56007	37691	54968	2961	40660
275	2961	64738	40660	54968	5549
276	64738	2961	5549	54968	40660
277	15549	64828	14485	22822	25187
278	17544	62251	64738	22668	39049
279	12936	64828	25187	14485	22822
280	2961	5549	54968	64738	40660
281	22668	39049	64828	12936	51843
282	14143	14485	63721	54091	43152
283	18038	15549	25187	14485	22822
284	8602	20009	40660	5549	28286
285	40660	61903	20009	28286	2961
286	24502	37691	34438	39848	43152
287	20971	57945	50613	27529	64738
288	39049	20971	50613	64738	62251
289	55033	3193	38066	10724	28286
290	40660	50613	27529	64738	5549
291	44199	15361	62495	28286	61903
292	39049	64828	8603	22822	25187
293	20009	5549	2961	40660	54968
294	3027	14485	22822	54091	43152
295	3027	44657	48706	50852	54091
296	12936	14485	22822	64828	25187
297	8602	20009	40660	5549	33123
298	57945	50613	27529	64738	5549
299	50852	43152	16097	3027	54091
300	36938	20971	50613	64738	62251
301	24502	39848	39049	17544	34438
302	18038	15549	25187	22822	14485
303	51843	12936	25187	14485	22822
304	54666	62495	44199	61903	19926
305	50852	3027	54091	16097	43152
306	5549	40660	2961	54968	64738
307	44657	28670	48706	54091	50852
308	41999	54666	61903	19926	44199
309	22668	17544	34438	39049	64738
310	19926	44199	11376	61903	62495
311	28670	44657	48706	50852	54091
312	38066	15361	62495	3193	28286
313	57945	27529	50613	64738	36938
314	20433	8602	33123	20009	5549
315	43609	5549	54968	2961	40660
316	12405	56007	37691	2961	59054
317	12405	56007	2961	37691	59054
318	20009	40660	2961	5549	54968
319	3193	8602	20009	28286	5549
320	2961	54968	20009	40660	5549
321	27529	40660	50613	64738	5549
322	36938	20971	62251	50613	64738
323	22822	8603	39049	64828	25187
324	8603	14485	25187	22822	64828
325	10724	33836	3193	20009	28286
326	33836	62495	3193	28286	61903
327	54666	19926	44199	62495	61903
328	56007	65058	59054	54091	37691
329	15549	64828	25187	22822	14485
330	35258	44657	48706	50852	54091
331	12405	54091	56007	37691	59054
332	22668	64738	39049	62251	53511
333	22668	34438	39049	39848	17544
334	25187	64828	51843	12936	39049
335	57471	15549	43152	14485	22822
336	12405	59054	2961	54968	40660
337	28286	19926	44199	59054	61903
338	30097	41999	19926	61903	11376
339	34438	59054	43152	37691	56007
340	62251	53511	64828	22668	39049
341	54968	50613	5549	40660	64738
342	27529	40660	64738	50613	5549
343	54666	8362	61903	44199	28286
344	8602	40660	33123	5549	20009
345	57471	22822	14485	3027	55581
346	39848	34438	39049	17544	22668
347	53983	15549	43152	22822	14485
348	64738	20433	27529	33123	5549
349	54666	8362	44199	61903	28286
350	64828	22668	62251	39049	53511
351	44657	28670	35258	50852	54091
352	10724	33836	20009	3193	28286
353	20009	38066	28286	3193	10724
354	8602	3193	28286	5549	20009
355	28145	54091	14485	43152	63721
356	8602	3193	28286	20009	5549
357	56007	34438	40660	2961	37691
358	40660	61903	2961	20009	28286
359	17544	54968	64738	2961	40660
360	50613	39049	62251	64738	20971
361	65058	35258	50852	54091	59054
362	63721	50852	43152	16097	54091
363	24502	40660	64738	34438	17544
364	2961	24502	39848	17544	34438
365	62251	22668	17544	39049	64738
366	24502	37691	39848	34438	43152
367	8602	5549	40660	20009	28286
368	62251	22668	17544	64738	39049
369	32657	3193	38066	28286	62495
370	26507	8603	64828	22822	25187
371	2961	64738	40660	5549	54968
372	15549	63721	14485	43152	22822
373	22668	64738	62251	53511	39049
374	65058	44199	19926	61903	59054
375	14485	25187	8603	22822	64828
376	14485	39049	22822	64828	25187
377	59054	56007	34438	37691	2961
378	28670	44657	50852	48706	54091
379	55581	57471	3027	22822	14485
380	22822	34438	63721	14485	43152
381	49659	55581	3027	22822	14485
382	57945	27529	5549	50613	64738
383	39911	2961	61903	20009	28286
384	20971	64738	39049	53511	62251
385	54666	19926	44199	28286	61903
386	50613	20971	39049	62251	64738
387	44657	3027	48706	50852	54091
388	44199	15361	61903	28286	62495
389	48706	3027	16097	54091	50852
390	20009	2961	5549	54968	40660
